RAID|KUID|HUID|Tittel|Navn|HUIDFar|HUIDMor|IDNR|FargeBeskrivelse|FargeVariant|AD|HD|Haarlag|IDMerk|Kjoenn|PEID|EndretAv|EndretDato|RegDato|Stoerrelse
306|061106|04235/06||VESTLØKKA'S B ANTON|10263/04|04619/01|1164896|SORT/HVIT|||C||M|H|3642694||11.07.2007|06.04.2006|
306|061106|04236/06||VESTLØKKA'S B BIKO|10263/04|04619/01|1164925|SORT/HVIT|||||M|H|3642695||26.04.2006|06.04.2006|
306|061106|04237/06||VESTLØKKA'S B NICO|10263/04|04619/01|1164954|RØD/HVIT|||C||M|H|3015202||04.10.2007|06.04.2006|
306|061106|04239/06||VESTLØKKA'S B SESSAN|10263/04|04619/01|1165010|SORT/HVIT|||||M|T|3642696||26.04.2006|06.04.2006|
306|061106|04238/06||VESTLØKKA'S B NADIA|10263/04|04619/01|1164982|SORT/HVIT|||A||M|T|3666804|HKE|05.11.2008|06.04.2006|
306|061106|04240/06||VESTLØKKA'S B TYRA|10263/04|04619/01|1165039|RØD/HVIT|||||M|T|3642697||26.04.2006|06.04.2006|
306|061106|04241/06||VESTLØKKA'S B LEIA|10263/04|04619/01|1165068|RØD/HVIT|||||M|T|3642698||26.04.2006|06.04.2006|
306|991124|04471/99||MIRA|15118/93|20211/95|1171922|HVIT/ORANGE|||B||X|T|3290631|#XU|18.07.2004|18.03.1999|
306|991124|04472/99||MARIE CHOCOLAT ROYAL|15118/93|20211/95|1171952|LEVER/HVIT|||B||M|T|3232934|#XU|08.02.2004|18.03.1999|
306|071040|04484/07||KAMVATNET'S TINKA|06203/01|04194/02|2045890|SORT/HVIT|||A||M|T|3684391||19.02.2008|19.04.2007|
306|061173|04498/06||FELIX|20374/01|11181/00|1172722|HVIT/ORANGE|||C||M|H|3647041||25.02.2008|15.06.2006|
306|061173|04499/06||ZACKO|20374/01|11181/00|1172755|HVIT/ORANGE|||||M|H|2590281||11.11.2007|15.06.2006|
306|021139|04669/02||BRUNSKOGEN'S BAMSI|15118/93|10611/98|1177888|HVIT/ORANGE||||||T|3544420|bj|07.05.2002|18.03.2002|
306|425762|04661/78||JANKA|05841/73|14240/73|1177659|BRUN/HVIT||||||T|2363068|#XU|05.06.2005||
306|425762|04664/78||BONNIE|05841/73|14240/73|1177746|BRUN/HVIT|||A|||T|8163989||||
